กลุ่มยา,ชื่อสามัญ,รูปแบบยา/ความแรง,ขนาดบรรจุ,รูปแบบยา,ความแรง,หน่วยความแรง,ขนาดบรรจุ,หน่วยขนาดบรรจุ,ราคากลาง(รวมภาษีมูลค่าเพิ่ม)(บาท),หมายเหตุ
19.2 กลุ่มยา Angiotensin Receptor Blocker (ARB) สูตรยาผสม,Olmesartan + Amlodipine,tab 40 mg+5 mg,1 เม็ด,,,,,,22.95,
19.2 กลุ่มยา Angiotensin Receptor Blocker (ARB) สูตรยาผสม,Olmesartan + Amlodipine,tab 40 mg+10 mg,1 เม็ด,,,,,,23.45,
19.2 กลุ่มยา Angiotensin Receptor Blocker (ARB) สูตรยาผสม,Olmesartan + Hydrochlorothiazide,tab 20 mg+12.5 mg,1 เม็ด,,,,,,13.77,
19.2 กลุ่มยา Angiotensin Receptor Blocker (ARB) สูตรยาผสม,Olmesartan + Hydrochlorothiazide,tab 40 mg+12.5 mg,1 เม็ด,,,,,,22.12,
19.2 กลุ่มยา Angiotensin Receptor Blocker (ARB) สูตรยาผสม,Telmisartan + Amlodipine,tab 40 mg+5 mg,1 เม็ด,,,,,,14.29,
19.2 กลุ่มยา Angiotensin Receptor Blocker (ARB) สูตรยาผสม,Telmisartan + Amlodipine,tab 40 mg+10 mg,1 เม็ด,,,,,,14.79,
19.2 กลุ่มยา Angiotensin Receptor Blocker (ARB) สูตรยาผสม,Telmisartan + Amlodipine,tab 80 mg+5 mg,1 เม็ด,,,,,,21.18,
19.2 กลุ่มยา Angiotensin Receptor Blocker (ARB) สูตรยาผสม,Telmisartan + Amlodipine,tab 80 mg+10 mg,1 เม็ด,,,,,,21.68,
19.2 กลุ่มยา Angiotensin Receptor Blocker (ARB) สูตรยาผสม,Telmisartan + Hydrochlorothiazide,tab 40 mg+12.5 mg,1 เม็ด,,,,,,13.46,
19.2 กลุ่มยา Angiotensin Receptor Blocker (ARB) สูตรยาผสม,Telmisartan + Hydrochlorothiazide,tab 80 mg+12.5 mg,1 เม็ด,,,,,,20.35,
19.2 กลุ่มยา Angiotensin Receptor Blocker (ARB) สูตรยาผสม,Valsartan + Amlodipine,tab 80 mg+5 mg,1 เม็ด,,,,,,5.61,
19.2 กลุ่มยา Angiotensin Receptor Blocker (ARB) สูตรยาผสม,Valsartan + Amlodipine,tab 160 mg+5 mg,1 เม็ด,,,,,,7.51,
19.2 กลุ่มยา Angiotensin Receptor Blocker (ARB) สูตรยาผสม,Valsartan + Amlodipine,tab 160 mg+10 mg,1 เม็ด,,,,,,8.01,
19.2 กลุ่มยา Angiotensin Receptor Blocker (ARB) สูตรยาผสม,Valsartan + Amlodipine,tab 320 mg+10 mg,1 เม็ด,,,,,,14.51,
19.2 กลุ่มยา Angiotensin Receptor Blocker (ARB) สูตรยาผสม,"Valsartan + Amlodipine + 
Hydrochlorothiazide",tab 160+5+12.5 mg,1 เม็ด,,,,,,7.69,
19.2 กลุ่มยา Angiotensin Receptor Blocker (ARB) สูตรยาผสม,"Valsartan + Amlodipine +
Hydrochlorothiazide",tab 160+10+12.5 mg,1 เม็ด,,,,,,8.19,
19.2 กลุ่มยา Angiotensin Receptor Blocker (ARB) สูตรยาผสม,Valsartan + Hydrochlorothiazide,tab 80 mg+12.5 mg,1 เม็ด,,,,,,4.78,
19.2 กลุ่มยา Angiotensin Receptor Blocker (ARB) สูตรยาผสม,Valsartan + Hydrochlorothiazide,tab 160 mg+12.5 mg,1 เม็ด,,,,,,6.68,
19.2 กลุ่มยา Angiotensin Receptor Blocker (ARB) สูตรยาผสม,Valsartan + Hydrochlorothiazide,tab 160 mg+25 mg,1 เม็ด,,,,,,6.68,
20. กลุ่มยารักษาโรคกระดูกพรุน,Alendronate sodium,tab 10 mg,1 เม็ด,,,,,,27.17,
20. กลุ่มยารักษาโรคกระดูกพรุน,Alendronate sodium,tab 70 mg ,1 เม็ด,,,,,,47,
20. กลุ่มยารักษาโรคกระดูกพรุน,"Alendronate sodium+ 
colecalciferol (vit D3)","tab 70 mg+ 2,800 iu",1 เม็ด,,,,,,86.63,
20. กลุ่มยารักษาโรคกระดูกพรุน,"Alendronate sodium+ 
colecalciferol (vit D3)","tab 70 mg+ 5,600 iu",1 เม็ด,,,,,,86.63,
20. กลุ่มยารักษาโรคกระดูกพรุน,Alfacalcidol,cap/tab 0.25 mcg,1 แคปซูล/เม็ด,,,,,,2.71,
20. กลุ่มยารักษาโรคกระดูกพรุน,Alfacalcidol,cap/tab 0.5 mcg,1 แคปซูล/เม็ด,,,,,,5.03,
20. กลุ่มยารักษาโรคกระดูกพรุน,Alfacalcidol,cap/tab 1 mcg,1 แคปซูล/เม็ด,,,,,,10.06,
20. กลุ่มยารักษาโรคกระดูกพรุน,Calcitonin,nasal spray 200 iu /dose,1 ขวด (14 doses),,,,,,1043.69,
20. กลุ่มยารักษาโรคกระดูกพรุน,Calcitonin,nasal spray 200 iu/dose,1 ขวด (28 doses),,,,,,1509.38,
20. กลุ่มยารักษาโรคกระดูกพรุน,Calcitonin,nasal spray 200 iu/dose,1 ขวด (30 doses),,,,,,1617.19,
20. กลุ่มยารักษาโรคกระดูกพรุน,Calcitriol ,cap  0.25 mcg,1 แคปซูล,,,,,,4.24,
20. กลุ่มยารักษาโรคกระดูกพรุน,Calcium carbonate,cap/tab 350 mg,1 แคปซูล/เม็ด,,,,,,0.23,
20. กลุ่มยารักษาโรคกระดูกพรุน,Calcium carbonate,cap/tab 600 mg,1 แคปซูล/เม็ด,,,,,,0.23,
20. กลุ่มยารักษาโรคกระดูกพรุน,Calcium carbonate,cap/tab 625 mg,1 แคปซูล/เม็ด,,,,,,0.26,
20. กลุ่มยารักษาโรคกระดูกพรุน,Calcium carbonate,cap/tab 835 mg,1 แคปซูล/เม็ด,,,,,,0.29,
20. กลุ่มยารักษาโรคกระดูกพรุน,Calcium carbonate,"tab 1,000 mg",1 เม็ด,,,,,,0.48,
20. กลุ่มยารักษาโรคกระดูกพรุน,Calcium carbonate,"tab 1,250 mg",1 เม็ด,,,,,,0.6,
20. กลุ่มยารักษาโรคกระดูกพรุน,Calcium carbonate,"tab 1,500 mg",1 เม็ด,,,,,,0.72,
20. กลุ่มยารักษาโรคกระดูกพรุน,Calcium carbonate +Colecalciferol (vit D3) ,tab 1.5 g+200 iu,1 เม็ด,,,,,,2.62,
20. กลุ่มยารักษาโรคกระดูกพรุน,Ibandronic acid ,tab 150 mg,1 เม็ด,,,,,,993.44,
20. กลุ่มยารักษาโรคกระดูกพรุน,Menatetrenone (vitamin K2) ,cap 15 mg,1 แคปซูล,,,,,,10.9,
20. กลุ่มยารักษาโรคกระดูกพรุน,Ossein-hydroxyapatite compound,tab 200 mg,1 เม็ด,,,,,,3.19,
20. กลุ่มยารักษาโรคกระดูกพรุน,Ossein-hydroxyapatite compound ,tab 800 mg ,1 เม็ด,,,,,,8.63,
20. กลุ่มยารักษาโรคกระดูกพรุน,Raloxifene ,tab 60 mg,1 เม็ด,,,,,,48,
20. กลุ่มยารักษาโรคกระดูกพรุน,Risedronate sodium,tab 35 mg,1 เม็ด,,,,,,215.2,
20. กลุ่มยารักษาโรคกระดูกพรุน,Risedronate sodium,tab 150 mg,1 เม็ด,,,,,,860.8,
20. กลุ่มยารักษาโรคกระดูกพรุน,Strontium ranelate ,oral powder 2 g/sachet,1 ซอง,,,,,,55.64,
20. กลุ่มยารักษาโรคกระดูกพรุน,Teriparatide ,pre-filled pen injection 600 mcg/2.4 ml,1 ด้าม (2.4 ml),,,,,,14712.5,
20. กลุ่มยารักษาโรคกระดูกพรุน,Zoledronic acid ,sterile sol 5 mg/100 ml,1 ขวด (100 ml),,,,,,12592.82,
21. กลุ่มยา Antiplatelets,Abciximab ,sterile sol 2 mg/1 ml (5 ml),1 ไวแอล,,,,,,10035.26,
21. กลุ่มยา Antiplatelets,Aspirin (Acetylsalicylic acid),tab 81 mg,1 เม็ด,,,,,,0.18,
21. กลุ่มยา Antiplatelets,Aspirin (Acetylsalicylic acid),tab 100 mg,1 เม็ด,,,,,,1.19,
21. กลุ่มยา Antiplatelets,Aspirin (Acetylsalicylic acid),tab 300 mg,1 เม็ด,,,,,,0.24,
21. กลุ่มยา Antiplatelets,Aspirin (Acetylsalicylic acid),EC tab 81 mg,1 เม็ด,,,,,,0.22,
21. กลุ่มยา Antiplatelets,Aspirin (Acetylsalicylic acid),EC tab 300 mg,1 เม็ด,,,,,,0.28,
21. กลุ่มยา Antiplatelets,Cilostazol ,tab 50 mg,1 เม็ด,,,,,,10.56,
21. กลุ่มยา Antiplatelets,Cilostazol ,tab 100 mg,1 เม็ด,,,,,,21.12,
21. กลุ่มยา Antiplatelets,Cilostazol ,oral pwdr 20%w/w (0.5 g),1 ซอง,,,,,,31.56,
21. กลุ่มยา Antiplatelets,Clopidogrel bisulfate ,tab 75 mg,1 เม็ด,,,,,,14.07,
21. กลุ่มยา Antiplatelets,Clopidogrel bisulfate ,tab 300 mg,1 เม็ด,,,,,,56.28,
21. กลุ่มยา Antiplatelets,Clopidogrel + Aspirin (Acetylsalicylic acid),tab 75 mg+75 mg,1 เม็ด,,,,,,14.25,
21. กลุ่มยา Antiplatelets,Clopidogrel + Aspirin (Acetylsalicylic acid),tab 75 mg+100 mg,1 เม็ด,,,,,,15.26,
21. กลุ่มยา Antiplatelets,Dipyridamole,tab 25 mg,1 เม็ด,,,,,,1.4,
21. กลุ่มยา Antiplatelets,Dipyridamole,cap/tab 75 mg,1 แคปซูล/เม็ด,,,,,,4,
21. กลุ่มยา Antiplatelets,Dipyridamole ,"sterile sol 5 mg/1 ml, (2 ml)",1 แอมพูล,,,,,,54.89,
21. กลุ่มยา Antiplatelets,Dipyridamole + Aspirin (Acetylsalicylic acid),ER cap 200 mg + 25 mg,1 แคปซูล,,,,,,16.6,
21. กลุ่มยา Antiplatelets,Eptifibatide ,"sterile sol 0.75 mg/1 ml, (100 ml)",1 ไวแอล,,,,,,5696.68,
21. กลุ่มยา Antiplatelets,Eptifibatide ,"sterile sol 2 mg/1 ml, (10 ml)",1 ไวแอล,,,,,,1876.78,
21. กลุ่มยา Antiplatelets,Prasugrel ,tab 5 mg,1 เม็ด,,,,,,65.45,
21. กลุ่มยา Antiplatelets,Prasugrel ,tab 10 mg,1 เม็ด,,,,,,76.23,
21. กลุ่มยา Antiplatelets,Ticagrelor ,tab 90 mg,1 เม็ด,,,,,,16.1,
21. กลุ่มยา Antiplatelets,Ticlopidine hydrochloride ,cap/tab 250 mg,1 แคปซูล/เม็ด,,,,,,4,
21. กลุ่มยา Antiplatelets,Triflusal ,cap 300 mg,1 แคปซูล,,,,,,18.19,
22. กลุ่มยา Proton Pump Inhibitors,Omeprazole,EC cap 20 mg,1 แคปซูล,,,,,,0.62,
22. กลุ่มยา Proton Pump Inhibitors,Omeprazole magnesium,EC tab 20 mg,1 เม็ด,,,,,,36.32,
22. กลุ่มยา Proton Pump Inhibitors,Omeprazole sodium,sterile pwdr 40 mg,1 ไวแอล,,,,,,62.06,
22. กลุ่มยา Proton Pump Inhibitors,Pantoprazole sodium,EC tab 20 mg,1 เม็ด,,,,,,29.12,
22. กลุ่มยา Proton Pump Inhibitors,Pantoprazole sodium,EC tab 40 mg,1 เม็ด,,,,,,41.6,
22. กลุ่มยา Proton Pump Inhibitors,Pantoprazole sodium,sterile pwdr 40 mg,1 ไวแอล,,,,,,63.13,
22. กลุ่มยา Proton Pump Inhibitors,Lansoprazole ,EC cap 30 mg,1 แคปซูล,,,,,,10.94,
22. กลุ่มยา Proton Pump Inhibitors,Lansoprazole ,orodispersible tab 15 mg,1 เม็ด,,,,,,18.75,
22. กลุ่มยา Proton Pump Inhibitors,Lansoprazole ,orodispersible tab 30 mg,1 เม็ด,,,,,,37.53,
22. กลุ่มยา Proton Pump Inhibitors,Lansoprazole,sterile pwdr 30 mg,1 ไวแอล,,,,,,190.67,
22. กลุ่มยา Proton Pump Inhibitors,Rabeprazole sodium,EC tab 10 mg,1 เม็ด,,,,,,11.84,
22. กลุ่มยา Proton Pump Inhibitors,Rabeprazole sodium,EC tab 20 mg,1 เม็ด,,,,,,19.8,
22. กลุ่มยา Proton Pump Inhibitors,Esomeprazole ,EC tab 20 mg,1 เม็ด,,,,,,29.08,
22. กลุ่มยา Proton Pump Inhibitors,Esomeprazole,EC tab 40 mg,1 เม็ด,,,,,,43.93,
22. กลุ่มยา Proton Pump Inhibitors,Esomeprazole,sterile pwdr 40 mg,1 ไวแอล,,,,,,187.25,
22. กลุ่มยา Proton Pump Inhibitors,Dexlansoprazole ,delayed release cap 30 mg,1 แคปซูล,,,,,,47.67,
22. กลุ่มยา Proton Pump Inhibitors,Dexlansoprazole ,delayed release cap 60 mg,1 แคปซูล,,,,,,58.27,
23. กลุ่มยา Atypical anti-psychotic drugs,Amisulpride,tab 50 mg,1 เม็ด,,,,,,13.59,
23. กลุ่มยา Atypical anti-psychotic drugs,Amisulpride,tab 100 mg,1 เม็ด,,,,,,16.94,
23. กลุ่มยา Atypical anti-psychotic drugs,Amisulpride,tab 200 mg,1 เม็ด,,,,,,20.18,
23. กลุ่มยา Atypical anti-psychotic drugs,Amisulpride,tab 400 mg,1 เม็ด,,,,,,67.77,
23. กลุ่มยา Atypical anti-psychotic drugs,Aripiprazole,tab 5 mg,1 เม็ด,,,,,,36,
23. กลุ่มยา Atypical anti-psychotic drugs,Aripiprazole,tab 10 mg,1 เม็ด,,,,,,70,
23. กลุ่มยา Atypical anti-psychotic drugs,Aripiprazole,tab 15 mg,1 เม็ด,,,,,,75,
23. กลุ่มยา Atypical anti-psychotic drugs,Aripiprazole,orodispersible  tab 10 mg,1 เม็ด,,,,,,127.33,
23. กลุ่มยา Atypical anti-psychotic drugs,Aripiprazole,orodispersible  tab 15 mg,1 เม็ด,,,,,,127.33,
23. กลุ่มยา Atypical anti-psychotic drugs,Aripiprazole,oral sol 1 mg/ml (150 ml),1 ขวด,,,,,,2311.2,
23. กลุ่มยา Atypical anti-psychotic drugs,Clozapine,tab 25 mg,1 เม็ด,,,,,,1.12,
23. กลุ่มยา Atypical anti-psychotic drugs,Clozapine,tab 100 mg,1 เม็ด,,,,,,1.75,
23. กลุ่มยา Atypical anti-psychotic drugs,Lurasidone hydrochloride,tab 40 mg,1 เม็ด,,,,,,91.49,
23. กลุ่มยา Atypical anti-psychotic drugs,Lurasidone hydrochloride,tab 80 mg,1 เม็ด,,,,,,154.08,
23. กลุ่มยา Atypical anti-psychotic drugs,Olanzapine,tab 5 mg,1 เม็ด,,,,,,35.5,
23. กลุ่มยา Atypical anti-psychotic drugs,Olanzapine,tab 10 mg,1 เม็ด,,,,,,61.67,
23. กลุ่มยา Atypical anti-psychotic drugs,Olanzapine,orodispersible tab 5 mg,1 เม็ด,,,,,,68.79,
23. กลุ่มยา Atypical anti-psychotic drugs,Olanzapine,orodispersible tab 10 mg,1 เม็ด,,,,,,137.58,
23. กลุ่มยา Atypical anti-psychotic drugs,Paliperidone,SR tab 3 mg,1 เม็ด,,,,,,69.44,
23. กลุ่มยา Atypical anti-psychotic drugs,Paliperidone,SR tab 6 mg,1 เม็ด,,,,,,123.64,
23. กลุ่มยา Atypical anti-psychotic drugs,Paliperidone,SR tab 9 mg,1 เม็ด,,,,,,146.17,
23. กลุ่มยา Atypical anti-psychotic drugs,Paliperidone palmitate,"prolonged release sterile susp 
75 mg/pre-filled syringe",1 กล่อง,,,,,,6947.78,
23. กลุ่มยา Atypical anti-psychotic drugs,Paliperidone palmitate,"prolonged release sterile susp 
100 mg/pre-filled syringe",1 กล่อง,,,,,,6947.78,
23. กลุ่มยา Atypical anti-psychotic drugs,Paliperidone palmitate,"prolonged release sterile susp 
150 mg/pre-filled syringe",1 กล่อง,,,,,,8914.71,
23. กลุ่มยา Atypical anti-psychotic drugs,Quetiapine fumarate,tab 25 mg,1 เม็ด,,,,,,11.66,
23. กลุ่มยา Atypical anti-psychotic drugs,Quetiapine fumarate,tab 100 mg,1 เม็ด,,,,,,18.68,
23. กลุ่มยา Atypical anti-psychotic drugs,Quetiapine fumarate,tab 200 mg,1 เม็ด,,,,,,18.82,
23. กลุ่มยา Atypical anti-psychotic drugs,Quetiapine fumarate,SR tab 50 mg,1 เม็ด,,,,,,29.45,
23. กลุ่มยา Atypical anti-psychotic drugs,Quetiapine fumarate,SR tab 150 mg,1 เม็ด,,,,,,55.01,
23. กลุ่มยา Atypical anti-psychotic drugs,Quetiapine fumarate,SR tab 200 mg,1 เม็ด,,,,,,19.57,
23. กลุ่มยา Atypical anti-psychotic drugs,Quetiapine fumarate,SR tab 300 mg,1 เม็ด,,,,,,110.02,
23. กลุ่มยา Atypical anti-psychotic drugs,Quetiapine fumarate,SR tab 400 mg,1 เม็ด,,,,,,158.63,
23. กลุ่มยา Atypical anti-psychotic drugs,Risperidone,tab 1 mg,1 เม็ด,,,,,,2.4,
23. กลุ่มยา Atypical anti-psychotic drugs,Risperidone,tab 2 mg,1 เม็ด,,,,,,3.53,
23. กลุ่มยา Atypical anti-psychotic drugs,Risperidone,orodispersible tab 0.5 mg,1 เม็ด,,,,,,13.04,
23. กลุ่มยา Atypical anti-psychotic drugs,Risperidone,orodispersible tab 1 mg,1 เม็ด,,,,,,18.87,
23. กลุ่มยา Atypical anti-psychotic drugs,Risperidone,orodispersible tab 2 mg,1 เม็ด,,,,,,36.98,
23. กลุ่มยา Atypical anti-psychotic drugs,Risperidone,oral sol 1 mg/1 ml (30 ml),1 ขวด,,,,,,160,
23. กลุ่มยา Atypical anti-psychotic drugs,Ziprasidone hydrochloride,cap 20 mg,1 แคปซูล,,,,,,65.01,
23. กลุ่มยา Atypical anti-psychotic drugs,Ziprasidone hydrochloride,cap 40 mg,1 แคปซูล,,,,,,65.01,
23. กลุ่มยา Atypical anti-psychotic drugs,Ziprasidone hydrochloride,cap 60 mg,1 แคปซูล,,,,,,75.11,
23. กลุ่มยา Atypical anti-psychotic drugs,Ziprasidone hydrochloride,cap 80 mg,1 แคปซูล,,,,,,76.4,
24. กลุ่มยา Anti-dementia drugs,Donepezil hydrochloride,tab 5 mg,1 เม็ด,,,,,,20.17,
24. กลุ่มยา Anti-dementia drugs,Donepezil hydrochloride,tab 10 mg,1 เม็ด,,,,,,31.51,
24. กลุ่มยา Anti-dementia drugs,Donepezil hydrochloride,orodispersible tab 5 mg,1 เม็ด,,,,,,32.14,
24. กลุ่มยา Anti-dementia drugs,Donepezil hydrochloride,orodispersible tab 10 mg,1 เม็ด,,,,,,64.28,
24. กลุ่มยา Anti-dementia drugs,Donepezil hydrochloride,SR tab 23 mg,1 เม็ด,,,,,,93.7,
24. กลุ่มยา Anti-dementia drugs,Galantamine hydrobromide,SR cap 8 mg,1 แคปซูล,,,,,,76.28,
24. กลุ่มยา Anti-dementia drugs,Galantamine hydrobromide,SR cap 16 mg,1 แคปซูล,,,,,,115.97,
24. กลุ่มยา Anti-dementia drugs,Memantine hydrochloride,tab 10 mg,1 เม็ด,,,,,,15.88,
24. กลุ่มยา Anti-dementia drugs,Memantine hydrochloride,tab 20 mg,1 เม็ด,,,,,,31.76,
24. กลุ่มยา Anti-dementia drugs,Memantine hydrochloride,oral sol 10 mg/ml (50 ml),1 ขวด,,,,,,3477.68,
24. กลุ่มยา Anti-dementia drugs,Rivastigmine hydrogen tartrate,cap 1.5 mg,1 แคปซูล,,,,,,30.5,
24. กลุ่มยา Anti-dementia drugs,Rivastigmine hydrogen tartrate,cap 3 mg,1 แคปซูล,,,,,,30.5,
24. กลุ่มยา Anti-dementia drugs,Rivastigmine hydrogen tartrate,cap 4.5 mg,1 แคปซูล,,,,,,60.99,
24. กลุ่มยา Anti-dementia drugs,Rivastigmine hydrogen tartrate,cap 6 mg,1 แคปซูล,,,,,,60.99,
24. กลุ่มยา Anti-dementia drugs,Rivastigmine hydrogen tartrate,oral sol 2 mg/ml (50 ml),1 ขวด,,,,,,1396.35,
24. กลุ่มยา Anti-dementia drugs,Rivastigmine,transdermal therapeutic system 9 mg,1 แผ่น,,,,,,123.68,
24. กลุ่มยา Anti-dementia drugs,Rivastigmine,transdermal therapeutic system 18 mg,1 แผ่น,,,,,,123.68,
24. กลุ่มยา Anti-dementia drugs,Rivastigmine,transdermal therapeutic system 27 mg,1 แผ่น,,,,,,123.68,
24. กลุ่มยา Anti-dementia drugs,Standardized Ginkgo Biloba Extract (EGb 761),cap/tab 40 mg,1 แคปซูล/เม็ด,,,,,,5.62,
24. กลุ่มยา Anti-dementia drugs,Standardized Ginkgo Biloba Extract (EGb 761),cap/tab 120 mg,1 แคปซูล/เม็ด,,,,,,16.86,
25. กลุ่มยา Drugs used in Benign Prostatic Hypertrophy,Alfuzosin hydrochloride,SR tab 10 mg  ,1 เม็ด,,,,,,23.11,
25. กลุ่มยา Drugs used in Benign Prostatic Hypertrophy,Doxazosin mesilate,tab 1 mg,1 เม็ด,,,,,,0.52,
25. กลุ่มยา Drugs used in Benign Prostatic Hypertrophy,Doxazosin mesilate,tab 2 mg,1 เม็ด,,,,,,0.36,
25. กลุ่มยา Drugs used in Benign Prostatic Hypertrophy,Doxazosin mesilate,tab 4 mg,1 เม็ด,,,,,,0.69,
25. กลุ่มยา Drugs used in Benign Prostatic Hypertrophy,Doxazosin mesilate,SR tab 4 mg,1 เม็ด,,,,,,18.87,
25. กลุ่มยา Drugs used in Benign Prostatic Hypertrophy,Prazosin hydrochloride,tab 1 mg  ,1 เม็ด,,,,,,0.39,
25. กลุ่มยา Drugs used in Benign Prostatic Hypertrophy,Prazosin hydrochloride,tab 2 mg  ,1 เม็ด,,,,,,0.57,
25. กลุ่มยา Drugs used in Benign Prostatic Hypertrophy,Prazosin hydrochloride,tab 5 mg  ,1 เม็ด,,,,,,1.53,
25. กลุ่มยา Drugs used in Benign Prostatic Hypertrophy,Silodosin,tab 4 mg,1 เม็ด,,,,,,12.8,
25. กลุ่มยา Drugs used in Benign Prostatic Hypertrophy,Tamsulosin hydrochloride,orodispersible tab 0.2 mg,1 เม็ด,,,,,,3.35,
25. กลุ่มยา Drugs used in Benign Prostatic Hypertrophy,Tamsulosin hydrochloride,SR tab 0.4 mg,1 เม็ด,,,,,,14,
25. กลุ่มยา Drugs used in Benign Prostatic Hypertrophy,Terazosin hydrochloride,tab 2 mg,1 เม็ด,,,,,,14.45,
25. กลุ่มยา Drugs used in Benign Prostatic Hypertrophy,Terazosin hydrochloride,tab 5 mg,1 เม็ด,,,,,,19.26,
25. กลุ่มยา Drugs used in Benign Prostatic Hypertrophy,Dutasteride,cap 0.5 mg,1 แคปซูล,,,,,,38.83,
25. กลุ่มยา Drugs used in Benign Prostatic Hypertrophy,Tamsulosin hydrochloride + Dutasteride,cap (0.4 mg + 0.5 mg),1 แคปซูล,,,,,,40.39,
25. กลุ่มยา Drugs used in Benign Prostatic Hypertrophy,Finasteride,tab 5 mg,1 เม็ด,,,,,,5.6,
25. กลุ่มยา Drugs used in Benign Prostatic Hypertrophy,Serenoa repens (Sabal extract),cap 160 mg,1 แคปซูล,,,,,,8.7,
25. กลุ่มยา Drugs used in Benign Prostatic Hypertrophy,Serenoa repens (Sabal extract),cap 320 mg,1 แคปซูล,,,,,,14.27,
25. กลุ่มยา Drugs used in Benign Prostatic Hypertrophy,Pygeum africanum,cap 50 mg,1 แคปซูล,,,,,,9.81,
26. กลุ่มยา Drugs for Obstructive Airway Diseases,Salbutamol sulfate ,DPI 100 mcg/1 dose,1 กล่อง(200 doses),,,,,,147.12,
26. กลุ่มยา Drugs for Obstructive Airway Diseases,Salbutamol sulfate,DPI 200 mcg/1 dose,1 กล่อง(200 doses),,,,,,294.24,
26. กลุ่มยา Drugs for Obstructive Airway Diseases,Salbutamol sulfate ,sol for nebulizer 1 mg/1 ml (2.5 ml),1 หลอด,,,,,,7.82,
26. กลุ่มยา Drugs for Obstructive Airway Diseases,Salbutamol sulfate ,sol for nebulizer 5 mg/1 ml (20 ml),1 ขวด,,,,,,52.5,
26. กลุ่มยา Drugs for Obstructive Airway Diseases,Salbutamol sulfate ,MDI 100 mcg/1 dose,1 กล่อง(200 doses),,,,,,45.62,
26. กลุ่มยา Drugs for Obstructive Airway Diseases,Salmeterol xinafoate,MDI 25 mcg/1 dose,1 กล่อง(120 doses),,,,,,278.2,
26. กลุ่มยา Drugs for Obstructive Airway Diseases,Salmeterol xinafoate+Fluticasone propionate,DPI (50 mcg +100 mcg)/1 dose ,1 กล่อง(60 doses),,,,,,385.2,
26. กลุ่มยา Drugs for Obstructive Airway Diseases,Salmeterol xinafoate+Fluticasone propionate,DPI (50 mcg +250 mcg)/1 dose ,1 กล่อง(60 doses),,,,,,467.59,
26. กลุ่มยา Drugs for Obstructive Airway Diseases,Salmeterol xinafoate+Fluticasone propionate,DPI (50 mcg +500 mcg)/1 dose ,1 กล่อง(60 doses),,,,,,597.06,
26. กลุ่มยา Drugs for Obstructive Airway Diseases,Salmeterol xinafoate+Fluticasone propionate,MDI (25 mcg +50 mcg)/1 dose ,1 กล่อง(120 doses),,,,,,376.11,
26. กลุ่มยา Drugs for Obstructive Airway Diseases,Salmeterol xinafoate+Fluticasone propionate,MDI (25 mcg +125 mcg)/1 dose ,1 กล่อง(120 doses),,,,,,299.6,
26. กลุ่มยา Drugs for Obstructive Airway Diseases,Salmeterol xinafoate+Fluticasone propionate,MDI (25 mcg +250 mcg)/1 dose ,1 กล่อง(120 doses),,,,,,567.1,
26. กลุ่มยา Drugs for Obstructive Airway Diseases,Procaterol hydrochloride,DPI 10 mcg/1 dose,1 กล่อง(200 doses),,,,,,525,
26. กลุ่มยา Drugs for Obstructive Airway Diseases,Olodaterol  hydrochloride ,sol for nebulizer 2.5 mcg/1 dose ,1 กล่อง(60 doses),,,,,,907,
26. กลุ่มยา Drugs for Obstructive Airway Diseases,Olodaterol hydrochloride +Tiotropium bromide ,"sol for nebulizer 
(2.5 mcg+2.5 mcg)/1 dose",1 กล่อง(60 doses),,,,,,1444.5,
26. กลุ่มยา Drugs for Obstructive Airway Diseases,Beclometasone dipropionate,DPI 200 mcg/1 dose,1 กล่อง(200 doses),,,,,,516.17,
26. กลุ่มยา Drugs for Obstructive Airway Diseases,Beclometasone dipropionate,MDI 50 mcg/1 dose,1 กล่อง(200 doses),,,,,,187.25,
26. กลุ่มยา Drugs for Obstructive Airway Diseases,Beclometasone dipropionate,MDI 100 mcg/1 dose,1 กล่อง(200 doses),,,,,,106.19,
26. กลุ่มยา Drugs for Obstructive Airway Diseases,Beclometasone dipropionate,MDI 250 mcg/1 dose,1 กล่อง(200 doses),,,,,,230.07,
26. กลุ่มยา Drugs for Obstructive Airway Diseases,Budesonide ,susp for nebulizer 0.5 mg/2 ml (2 ml),1 หลอด,,,,,,33.27,
26. กลุ่มยา Drugs for Obstructive Airway Diseases,Budesonide ,susp for nebulizer 1 mg/2 ml (2 ml),1 หลอด,,,,,,42.75,
26. กลุ่มยา Drugs for Obstructive Airway Diseases,Budesonide ,DPI 200 mcg/1 dose,1 กล่อง(200 doses),,,,,,556.4,
26. กลุ่มยา Drugs for Obstructive Airway Diseases,Budesonide,DPI 200 mcg/1 dose,1 กล่อง(100 doses),,,,,,410.24,
26. กลุ่มยา Drugs for Obstructive Airway Diseases,Budesonide ,DPI 100 mcg/1 dose,1 กล่อง(200 doses),,,,,,301.92,
26. กลุ่มยา Drugs for Obstructive Airway Diseases,Budesonide ,MDI 100 mcg/1 dose,1 กล่อง(200 doses),,,,,,180,
26. กลุ่มยา Drugs for Obstructive Airway Diseases,Budesonide ,MDI 200 mcg/1 dose,1 กล่อง(200 doses),,,,,,87.63,
26. กลุ่มยา Drugs for Obstructive Airway Diseases,Fluticasone propionate,susp for nebulizer 0.5 mg/2 ml (2 ml),1 หลอด,,,,,,43.34,
